Original,Translate_de_1,Translate_de_2
"Allor credetti ben riciever morte,","Dann dachte ich, ich würde sterben.","Dann dachte ich, ich treffe das Aussterben."
Tanto faciean di me gran malmenata:,Sie haben mich sowieso verärgert.,Sie zwangen mich sowieso zu großer Verfolgung.
Sì ch’i’ misericordia domandai,Also bat ich um Barmherzigkeit.,So flehte ich um Gnade.
"A Paura, a Vergognia, e a quel crudele,","In Furcht, Schande und diesem grausamen,","Unbarmherziger SchmerzEine Angst, eine Shame, und dieses unerbittliche, unerträgliche Leiden."
Ma i•nessuna guisa la trovai.,Aber ich fand sie nirgendwo.,Unter keinen Umständen fand ich sie.
Ciascun sì m’era più amar che fele;,Jeder war bitterer als Fielen;,Jeder war sauerer als Gift.
Per molte volte «Merzé!» lor gridai:,"Viele Male sagte ich zu ihnen: ""Gnädige Barmherzigkeit!""","Bei vielen Gelegenheiten ""Freude!"" schrie ich sie an."
Que’ mi diciean: «Per niente bele».,"Sie sagten: ""Ganz und gar nicht gut.""","Sie sagten: ""Absolut hässlich."""
"Come costor m’andavar tormentando,","Während sie mich quälten,","Ich weinte, während sie mich quälten, und ich schluchzte."
"E l’oste al Die d’Amor si fu sentita,",Der Wirt Gottes der Liebe wurde gehört,von allenDie Ermahnung Gottes der Liebe wurde von jedem Menschen ermahnt
E’ sì cogniobor ch’i’ avea infralita,"Und so wussten sie, dass ich gebrochen hatte.","Die Regel Und so entdeckten sie, dass ich die Regel verletzt hatte."
La bocie: inmantenente miser bando,Der Eid: Sie befehligten sofort,Das Gelübde: sofort befohlen
Che ciascun si vada apparechiando,Jeder soll sich vorbereiten.,Dass sich jeder erlernen würde
"A me socorere a canpar la vita,","Um mir zu helfen, mein Leben zu kaufen,","Er half mir, mich zu retten und mir das Leben zu erkaufen. Er half mir."
"Ch’ella sarebe in poco d’or fallita,",Dass sie in kurzer Zeit verloren sein würde,Dass sie in kurzer Zeit verschwunden wäre
Sed e’ no•mi veniser confortando.,Wenn ich nicht getröstet worden wäre.,Wenn es mir keine Erleichterung gegeben hätte.
"Quando   i portir’ sentiron quel baratto,","Als die Wachen einen Tausch hörten,","Sie eilten, als die Wächter den Handel hörten, und beeilten sich."
Inmantenente tra lor si giuraro,Und sogleich schwuren sie unter ihnen.,Treue unter ihnen schwuren Loyalität.
"Di non renderla a forza, né a patto;",Er soll sie weder mit Gewalt noch durch den Bund zurückgeben;,Dass ich sie nicht mit Gewalt oder mit dem Deal zurückbekomme.
E que’ di fuor ancor sì si legaro,Und die Außenstehenden banden sich auch miteinander.,"Diejenigen, die draußen waren, schlossen sich ebenfalls an."
"Di non partirsi, s’e’ non fosse fatto,","Sich nicht zu trennen, wenn es nicht geschehen ist,","Nicht zu teilen, wenn es nicht festgelegt wurde."
E di questo tra•llor si fidanzaro.,Und davon verlobten sie sich.,Und dazu erklärten sie sich verlobt.
Francheza si venne primiera mente,Franchezza war zuerst entschlossen,Sorgfältigkeit kam zuerst mit Entschlossenheit.
"Contra lo Schifo, ch’è molto oltragioso,","Gegen den Schleim, der sehr empörend ist,","Wir kämpfen gegen die Abscheulichkeit, die äußerst empörend ist."
"E per senbianti fiero e coragioso,","Und um stolz und mutig zu sein,","Er hob das Kinn auf, um stolz und tapfer zu erscheinen, er hob sein Gesicht."
Ma quella venne molto humile mente.,Aber sie kam sehr demütig.,Aber das war sehr demütig.
"Lo Schifo sì ponea tropo ben mente,","Der Mist stand zu gut,",Die Abscheulichkeit benahm sich zu freundlich.
"Ché ’n ben guardar era molto invioso,","Er war sehr neidisch darauf, gut zu gucken,","Er war sehr eifersüchtig darauf, gut auszusehen."
Che quella non potesse di nascoso,Dass sie nicht heimlich sein könnte.,Dass sie nicht im Verborgenen sein könnte.
Entrar dentr’a la porta con sua giente.,Mit seinen Leuten in die Tür eindringen.,Mit seinen Leuten in die Tür eindringen.
"Francheza mise mano ad una lancia,","Franceza legte seine Hand an seinen Speer,",Er bereitete sich darauf vorFranceza schnappte seinen Speer und bereitete einen Kampf vor.
"Sì s’aperse per dare a quel cagnione,","Und er öffnete sich, um diesem Hund zu geben,","Ein Ruheort öffnete sich, um dem Hund einen ruhigen Platz zu bieten."
E crudel mente   contra lui la lancia.,"und den Speer grausam gegen ihn,",Und er schleuderte den Speer brutal gegen ihn.
"Lo Schifo si avea in mano un gran bastone,","Der Mist hatte einen großen Stock in der Hand,",Der Abscheu hielt eine große Vereinin in der Hand.
"E co•lo scudo il colpo sì•llo schiancia,",Und mit dem Schild musste der Schlag fallen.,Und mit dem Schild verlor er den Aufprall.
"E fiede a•llei, e falla gir boccone.","Und er verletzte sie, indem er sie zum Bissen brachte.","Und er schlug sie in die Luft, indem er sie mittendrin drehte."
"La lancia a pezi a pezi à dispezata,",Der Speer wurde Stück für Stück zerstört.,Der Speer wurde durch Fragmente zerlegt.
"E’ po’ avisa un colpo ismisurato,","Aber dann kam ein riesengroßer Schlag,","die alles erschütterte, aber dann kam ein unerwarteter Schlag, der alles überwältigte."
Sì che tutto lo scudo à squartellato:,Und der ganze Schild wurde zerrissen:,Der ganze Schild wurde zerrissen.
"Francheza si è in terra rovesciata,",Francheza ist gestürzt.,Franchigia ist umgedreht.
"E que’ de’ colpi fa gran dimenata,","Und die Wunde machte ein großes Geräusch,",Und die Läsionen führten zu einem großen Lärm.
"E la bella «Merzé!» gli à domandato,","Und die schöne Merze! fragte ihn,","Und der wunderschöne Merze! Er hat ihn verhört,"
Sì ch’a Pietà ne prese gran peccato:,"Solange er in Pietà eine große Sünde nahm,",Bis Pietà ein großes Leid erfuhr.
Verso il villan sì•ss’è adirizata,Auf dem Weg zum Dorf wurde sie wütend,Auf den Bösen ist sie wütend geworden
"E con uno spuntone lo gì pungiendo,",Und mit einem Stachel hat er ihn gestochen.,Und mit einem Speer hat er ihn durchbohrt.
"E di lagrime tuttora il bagniava,","Und er hat immer noch Tränen getrunken,",Sie schüttete immer noch weinende Flüsse aus.
"Sì che ’l villan si venia rendendo,",Solange der Dorfbewohner lachte,Solange der Bösewicht kam und kicherte
C’aviso gl’iera ched egli afogava.,"Seit er gedacht hat, zu ertrinken.",Seit er Angst hatte zu ertrinken.
"Allor Vergognia vi venne corendo,",Da kam Scham und lief.,Da kam Schande und kam eilends.
Perché lo Schifo «Socorso!» gridava.,Weil der Idiot Hilfe schrie!,Weil der Schreckliche die Notaufnahme schreite!
"Vergognia si venne contra Pietade,","Schande widersetzte sich der Frömmigkeit,",Er demütigte sich mit Mitleid.
E molto forte mente la minaccia;,Und er bedrohte sie mit großer Kraft;,Und er bedrohte sie mit großer Kraft.
"E quella, che dottava sua minaccia,","Und sie, die wusste, wie man auf Drohungen reagiert,","Sie blieb ruhig, und sie wusste, wie sie auf Einschüchterungen reagieren sollte."
"Sì s’aparechia a mostrar  sua bontade,","Er bereitete sich darauf vor, seine Güte zu zeigen,","Er bereitete sich darauf vor, seine Freundlichkeit zu beweisen."
Ché ben conoscie sua diversitade.,Weil er die Vielfalt gut kannte,Weil er sich der Abwechslung bewusst war.
"Vergognia a una spada la man caccia,","Schande ergriff er das Schwert mit einer Hand,","Und als er Mut zeigte, nahm er das Schwert mit einer Hand und bewies Kühnheit."
Sì disse: «I’ vo’ ben che ciaschedun saccia,"Und er sagte: ""Ich will, daß jeder weiß,","""Und er sagte: ""Ich möchte, dass alle Bescheid wissen."""
Ched i’ te pagherò di tue derate!».,"Dass ich dich für deinen Fehler bezahle.""",Dass ich dich für deinen Fehler entschädige.
"Allora alza la spada a•llei fedire,","Und er hob das Schwert auf, daß er sie schlug,","Später hob er den Säbel auf, um ihn anzugreifen."
"Ma Diletto si venne a•llei atare,","Aber Liebling griff ein, um sie zu beschützen,","Aber Liebling hielt für sie ein, um sie zu bewahren."
"E di suo scudo la sepe coprire,","Und mit seinem Schild bedeckte er sie,",Und er beschützte sie mit seiner Verteidigung.
E poi si torna per lei vendicare.,"Und dann kam sie zurück, um sich an ihr zu rächen.",Später kehrte sie wegen Vergeltung gegen sie zurück.
Ma Vergognia sapea sì lo schermire,"Aber Scham konnte sich gut verteidigen,",Aber Schande war geschickt in der Verteidigung.
Che que’ no•lla potea magagniare.,So konnte sie ihr nichts antun.,So konnte nichts in dieser Hinsicht getan werden.
"Vergognia mise allor man a la spada,","Da schämte er sich und legte seine Hand an das Schwert,",Dann ergriff Demütigung das Schwert.
E sì se ne vien dritta ver’ Diletto.,Und er ging direkt nach Divoro.,Und er ging in Richtung Danksagung.
"Inmantenente lo scudo ebe al petto,","Und alsbald hatte der Schild auf seiner Brust,",Der Schild wurde sofort auf der Brust getragen.
"E disse: «Come vuole andar, sì vada,","Und er sagte: ""Geh, wie es gehen soll,","Es ist so, dass es sein muss.""Und er sagte: ""Geht, wie erwartet, so sollte es sein."""
"Chéd i’ te pur farò votar la strada,","Aber ich bringe ihn dazu, seinen Weg zu bereuen.","Ich sorge dafür, dass er seinen Weg besänftigt."
O tu farai di piana terra letto!».,"Oder ich werde dich auf dem Boden liegen lassen.""",Ich werde dich auf den Boden fallen lassen.
"Allor lo fie’ co•molto gran dispetto,","Dann schlug er ihn mit großer Wut,",Dann schlug er ihn mit großem Grimm.
"Come colei, c’a uciderlo bada:","Wie die, die ihn töten wollte.","Wie der, der die Absicht hatte, ihn zu beseitigen."
"Sì che l’uccide giù tutto stenduto,","Er tötete ihn dort, wo er sich hinstreckte.",Er ließ ihn dort liegen.
E sì li avrebe fesso insino a’ denti.,Und er hätte ihm bis an die Zähne wehtun können.,Er hätte ihn bis an die Zähne schlagen können.
"Ma quando Ben-Cielar l’ebe veduto,","Aber als Ben-Cielar ihn sah,","Er war erstaunt, aber als Ben-Cielar ihn sah, war er erstaunt."
"Perciò ch’egli eran distretti parenti,","Weil sie enge Verwandte waren,","Sie waren sehr eng verbunden, weil sie eng verwandt waren, waren sie sehr eng verbunden."
Inmantenente sì gli fecie aiuto.,Sofort halfen sie ihm.,Er versorgte ihn sofort mit Hilfe.
Vergognia disse: «I’ vi farò dolenti!».,"Schande sagte er: ""Ich werde euch leiden lassen!""","Schande sagte er: ""Ich werde euch Qual bringen!"""
"Molt’era buon guerrier, quel Buon-Cielare,",Er war ein sehr guter Krieger.,"Er verteidigte die Menschen. Er war ein Tugend-Champion, der Generoso-Cielare, der die Menschen beschützte."
"Alzò la spada, e sì fiede Vergognia:",Er hob das Schwert auf und schlug die Schande.,Er hob die Klinge auf und schlug die Unannehmlichkeiten.
"Sì gran colpo, ched ella tutta ingrogna,","Der Schlag war so stark, dass sie ganz verknallt ist,","Der Schlag war so heftig, dass sie ganz mürrisch ist."
E poco ne fallì d’a•tterra andare.,Und er ließ sie fast auf den Boden fallen.,Sie wollte sie am Boden ruinieren.
"E’ poi la cominciò a predicare,","Dann fing er an zu predigen,",Dann fing er an zu reden.
E disse: «Tu non temi aver vergogna,"Und er sagte: ""Du fürchtest dich nicht zu schämen,","Und er sagte: ""Du fürchtest dich nicht, dich zu blamieren, oder?"""
"Di me, chéd e’ nonn-à, di qui a Bolognia,","von mir, weil er nicht da ist, von hier nach Bologna,","Von mir, warum ist er nicht hier in Bologna?"
"Nessun, c’un fatto saccia me’ cielare","Niemand, der von meinem Himmel weiß,","Niemand, der mein Geheimnis kennt."
"Che saprò io, e perciò porto i’ ’l nome».","Dass ich weiß, und darum trage ich den Namen","Als weiser Mensch, den ich kenne, bezeichne ich mich als weiser Mensch."
Vergogna   sì non sepe allor che dire.,"Die Schande wusste nicht, was sie sagen sollte.",Die Schande konnte die Worte nicht finden.
"Paura lo sgridò: «Cugina, come","Die Angst tadelte sie: ""Kumpel, wie","""Wann konntest du?"" Schrecken tadelte sie: ""Was hattest du denn für eine Chance?"""
À’ tu perduto tutto tuo ardire?,Hast du deinen Mut verloren?,Hast du deine ganze Kühnheit verloren?
"Or vegh’i’ ben che vita tropp’ò durome,","Jetzt sehe ich, dass das Leben zu hart ist.","Jetzt stelle ich fest, dass das Leben zu schwierig ist."
Quando tu ài paura di morire».,"Wenn du Angst hast zu sterben.""",Wenn du den Tod fürchtest.
"A la sua spada mise man Paura,","Die Angst legte seine Hand an sein Schwert,","Die Angst raubte ihre Klinge,"
"Per soccorer Vergogna, sua vicina.","Um der Schande zu helfen, ihrer Nachbarin.","Um Shame zu entlasten, seine Nächste."
"A Ben-Cielar diè per sì grande aina,","Ben Cielar erlitt so eine große Wunde,","die nicht mehr laufen konnteBen Cielar litt an einer so schweren Verletzung, daß sein Gehen unmöglich wurde."
Ched e’ fu de la vita inn-aventura.,Das war das Ende seines Lebens.,Das bedeutete das Ende seiner Existenz.
Contra lei battaglia poco dura:,Ein wenig hart Der Kampf gegen sie:,Der Kampf gegen Sie ist nicht dauerhaft.
Ardimento s’occorse a la miccina,"Der Mut half der Kleinen,",Die Spinta unterstützte den Kleinen.
"Con una spada molto chiara e fina,","Mit einem sehr klaren und feinen Schwert,","Der Kampf endete mit einer klaren, dünnen Klinge, das Duell löste sich."
E sì•lle fecie molto gran paura.,Und sie machte ihr große Angst.,Es verursachte ihr einen enormen Schrecken.
"Ma tuttavia Paura   si conforta,","Aber dennoch brach die Angst,",Doch das Lernen heilte.
"E prese cuore in far sua difensione,","Und er nahm Mut, sich zu verteidigen,","Und er bewaffnete sich mit Kühnheit, um sich zu schützen."
E disse c’ameria me’ d’esser morta,"Und er sagte, er würde es vorziehen, tot zu sein.","anstatt ohne ihn zu lebenExpresse, die lieber zu einem besseren Leben, anstatt zu bestehen, ohne ihn."
C’Ardimento le tolga sua ragione.,Anstatt den Verstand zu verlieren.,Anstatt seine eigene Klarheit zu opfern.
"Allora in testa gli diè tal iscorta,","Dann gab er einen so starken Schlag,","Dann schlug er sie so kräftig, dass sie abstürzte."
Ched ella ’l mise giù in terra boccone.,Dass er sie auf den Boden stürzte wie ein Pazion.,Er ließ sie auf den Boden fallen wie ein Stein.
Quando Sicurtà vide c’Ardimento,"Als Sicherheit sah, dass Mut","Er war in Gefahr, und seine Angst nahm zu, als er erkannte, daß Mut in Schwierigkeiten steckte, wurde seine Furcht immer größer."
"Contra Paura avea tutto perduto,","Gegen Angst hatte er alles verloren,",Gegen Angst hatte er alles verloren.
"Sì corse là per dargli il su’ aiuto,","Er beeilte sich, ihm zu helfen,","Er beeilte sich, ihm seine Unterstützung zu geben."
E cominciò il su’ torniamento.,Und seine Bekehrung begann.,Er begann seine Veränderung.
Ma contra lei non ebe duramento.,Aber gegen sie hatte er keinen Widerstand.,Aber gegen sie kämpfte er nicht.
"Paura quello stormo ebe vincuto,","Angst hatte diese Übertragung gewonnen,",Schrecken herrschte über den Vogel.
"E anche un altro, s’e’ vi fosse essuto,","Und noch eins, wenn es da gewesen wäre,","Es wäre besser gewesen, und wenn es eine andere Person gegeben hätte, wäre es noch besser gewesen."
Ma Sicurtà si ebe acorgimento:,Aber Sicherheit erkannte:,Aber Sicherheit wurde sich bewusst
Ispada e scudo gittò tosto in terra,Er warf das Schwert und den Schild zur Erde.,Und er schleuderte das Schwert und den Schild zur Erde.
"E mantenente, con anbo le mani,","Und er hielt mit beiden Händen,",Und er straf mit beiden Händen.
A le tenpie a Paura sì s’aferra.,Er schnappte sich die Schläfe der Angst.,Er griff die Tempel des Schreckens an.
"E gli altri, ch’eran tutti lassi e vani,","Und die anderen, die alle schwach und nutzlos waren,","Ihm folgten andere, die alle schwach und unbedeutend waren, und ahmten Ihn nach."
Ciascun si levò suso e sì s’aferra,Und ein jeglicher stand auf und ergriff sich.,Und ein Glas stand auf und nahm einen Becher.
"A quella zuffa, com’e’ fosser cani.","Diesen Schlamassel, als wären es Hunde.","Bei dieser Schlägerei, als wären es Wölfe."
"Molto durò tra•llor quella battaglia,",Dieser Kampf dauerte lange.,Dieser Kampf dauerte lange.
Che ciascun roba e carni vi si straccia.,Dass jeder Kleidung und Fleisch riss.,Dass jeder Kleidung und Fleisch kratzte.
L’un l’altro abatte per forza di braccia.,Der eine stürzte den anderen mit Armen ab.,Der eine überwältigt den anderen mit Muskelkraft.
"Non fu veduta mai tal trapresaglia,",Eine solche Grausamkeit wurde noch nie gesehen.,Eine solche Grausamkeit wurde nie beobachtet.
Ché que’ d’entro facien troppo gran taglia,Weil die Leute da drin zu groß waren.,?Warum waren die innen zu zahlreich?
