Original,Translate_en_1,Translate_en_2
"Sì che, quand’ella avrà passata nona,","So that, when he has passed his youth,","can remember his life with pleasure, so that, when he has spent his youth, he can evoke his existence with satisfaction."
Il guardacuor suo sia sì fodrato,Let his heart be so protected,Let his heart be so guarded.
Ch’ella non cagia a merzé di persona.,That he doesn't fall into power in person.,That it doesn't fall under someone's rule.
E ciò tien tutto al ben aver guardato.,And that all depends on good attention.,And that all depends on good vigilance.
"Al ben guardar fallì’, lassa dolente,","If good attention fails, it leaves you sad,","If politeness fails, one becomes dismayed."
"Ché•cciò, c’all’un togliea,   a l’altro donava:","Because what he took from one, he gave to the other:","Because what he was subtracting from one, he was donating to the other."
"Come ’l danaio venia, così n’andava,","As the Danish came, so he left,","As the Dane arrived, so he came out."
Non faciea   forza d’aver rimanente.,He didn't have the strength to have a remnant.,He didn't try to get a surplus.
"I’ era di ciascun molto prendente,","I was very interested in everyone,",I was very curious about everyone.
"E tutto quanto a un ribaldo i’ ’l dava,","And everything I gave to a thief,","I didn't see him anymore. And everything I provided to a brigand, I didn't look at him anymore."
"Che “Puttana comune” mi chiamava,","Who used to call me a common bitch,","Who called me ""Woman of Escaped Life."""
E mi battea   la schiena ben sovente.,And he used to beat my back a lot.,And he beat my back frequently.
"Quest’iera que’, che più mi piaciea,",That's what I liked most.,This was what I liked most.
"E gli altri “Amici dolci” i’ apellava,","And I used to call the others ""sweet friends,""","I used to call the others ""Dear Ones."""
"Ma solamente   a costui ben volea,",But I just loved this.,I just wanted the best for it.
Che molto tosto s’apacificava,"That it was peaceful very quickly,",That it calmed down very quickly.
"Comeco, sì battuta no•m’avea,","Because if he hadn't beaten me,","I wouldn't be here if he hadn't defeated me, I wouldn't be here."
Ché troppo dolze mente   mi schufiava.,Too softly comforting.,That comforted me with excessive tenderness.
"S’i’ fosse stata, per l’anima mia,","If it had been, for my soul,","the possibility of choosingWhether it was, for my spirit, the opportunity to decide."
"Ben savia in giovaneza, e conosiente,","Well known in youth, and including,","the truthWell known in youth, and understood, reality."
"Ch’i’ era allor sì bella, e sì piaciente,","That it was then so beautiful, and pleasant,","Today it is forgotten that it was then so beautiful, and pleasant, today it is neglected."
"Che ’n ognie parte novelle ne gia,",That every part of the tidings of me came,That every segment of my news would come
"I’ sarè’ troppo richa, in fede mia;","I'd be too rich, I swear.","I'd be immensely rich, I promise."
"Ma i’ sì ’l dava tucto a quel dolente,","But I gave it all to that unhappy one,",I gave everything to that miserable wretch.
"C’a ben far   non fu anche conosciente,",That he was not able to do good,That he was not able to do good
Ma tutto dispendea in ribalderia.,But everything spent in recklessness.,But all was spent in devoutness.
Né no•gli piaque nulla risparmiare,Nor did he like to save anything.,He didn't like spending everything.
"Ch’e’ tutto no ’l bevesse, e no ’l giucasse,",That everything didn't drink it and didn't play it.,That no one tasted it and didn't use it
Tant’era tenperato a pur mal fare!,He was inclined to do evil anyway!,So he was inclined to perpetrate evil!
"Sì c’a la fin convene ch’i’ lasciasse,","So it would be better if I left him,",Eventually it proved useful for me to abandon him.
"Quand’i’ non ebi più, che gli donare:",When I had nothing more to donate:,When I had nothing left to offer
E’ me e sé di gran richeza trasse».,Bring great wealth to me and to himself.,Get a great abundance of myself and self.
Così à quella Vechia sermonato.,That's what the old lady said.,So said the old woman.
"Bellacoglienza molto queta è stata,",Bellacoglienza was very quiet,Bellacoglienza was extremely quiet.
"E molto volontier l’à ascoltata,",And I'd love to hear it.,He was happy to hear it.
E molto e’ n’è ’l su’ cuor rasicurato:,And his heart is much more reassured,And his heart is much quieter.
"Sì ch’e’ seria legier a far mercato,",So that it would be easy to do business,In order to make transactions simple.
"Se Gielosia non vi fosse trovata,","If there was no jealousy,","There would be no envy If there was no jealousy, there would be no rancour."
"E ’ tre portier’, che fanno gran veghiata,","And the three goalkeepers who make a great watch,",And the three guardians who make great surveillance.
Ché ciascun dotta d’eser barattato.,Because everyone knows how to trade.,Because everyone is aware of how to trade.
"Di Mala-Bocca, che già era   morto,","For Malabocca, who was already dead",", the funeral was a sad ceremonyFor Malabocca, who had already died, the burial was a melancholy manifestation."
"Nessun di lor non faciea mala ciera,",None of them made a bad expression,None of them took on an unpleasant air
"Ché, chi l’amasse, sì faria gran torto:",For he who loved him would do a great wrong.,For he who loved him would be unjust.
"Ch’e’ non finava di dìe, né da sera,","Why didn't it end in the day or in the evening,","But at midnight, for it did not cease by day, nor by night, but by midnight."
"Di dar a Gielosia nuovo sconforto,",To give jealousy further dismay,Cause further desolation to Jealousy.
Né non diciea giamai parola vera.,And he never said a real word.,And he never uttered an authentic phrase.
Bellacoglienza la parola prese,"Bellacoglienza took the floor,",Bellacoglienza performed in a speech.
"E sì rispuose, come ben parlante:","And he answered, as a well-talking man:","And he replied, as an eloquent speaker:"
"«Gientil madonna, i’ vi fo grazie mante","Dear Madonna, I thank you very much","Dear lady, I am extremely grateful to you."
Che di vostr’arte mi siete cortese;,For your kindness to me;,For your kindness towards me.
"Ma ’l fatto de l’amor no•m’è palese,","But the fact of love is not obvious,","However, the essence of affection is not evident."
Se non se in parole trapassante.,If not in transitory words.,If not in ephemeral sentences.
Ched i’ sia   di danar ben procacciante?,Can I be wealthy with money?,Can I be rich in money?
"I’ n’ò assai, per farne belle spese.",I've got a lot of them for shopping.,"I have plenty, to make big purchases."
"D’avere in me maniera bella e giente,","To look nice and kind,","You have to commitTo present a pleasant aspect and behave with courtesy, you have to apply."
"A•cciò vogl’i’ ben metter mia balia,",I want to put my attention to it.,I want to concentrate.
In tal maniera che•ssia   sofficiente.,In such a way that it is sufficient.,In order to meet the requirements.
"Se voi mi parlate di malia,","If you tell me about Malia,","I don't understand. If you talk to me about a spell, I don't understand."
"Ch’ella non può tornar già cuor di gente,","That she can't go back to people's hearts,",That you can't go back to people's favor.
"Creda ’l chi vuole, ch’i’ la teng’a•ffollia.","Believe who he wants, that I keep it crazy.","Believe those who like it, that I consider it an insanity."
"Del bel valetto, che vo’ mi parlate,","The handsome valet you talked to me about,",I don't know anything about the lovely servant you told me about. I don't know anything.
"In cui tanta vertute è riposata,","Wherein is put so much value,",In which it is guarded so much value.
"Sed e’ la s’à, per me gli sia chitata:",He has given it to me:,"He has it, that I grant him."
"S’i’ l’amo, i’ l’amerò come mi’ frate.","Yes, I love him. I will love him as my brother.",I will love him with brotherly affection.
"Ma per le gioie, ch’e’ m’à presentate,","But for the pleasures he presented me,","Life has given me a great giftFor the delights that it has offered me, life has given me a great gift."
La mi’ veduta no•gli fia vietata;,My opinion will not be prohibited;,My opinion will not be forbidden to him.
"Ma venga il più che puote a la cielata,","But come as much as you can to the court,","come who can but come as many as possible to the court, introduce yourself to anyone who can."
"E, sed e’ piacie a voi, sì ’l ci menate.","And if you like it, lead it to me.","If it pleases you, take me there."
