Original,Translate_fr_1,Translate_fr_2
E quello Schifo molto s’assicura.,Et cette merde s'est beaucoup renforcée.,Cette répugnance s'est considérablement accrue.
"Idio e tutti i santi ciaschun giura,","Dieu et tous les saints, chacun jure,","Dieu et tous les bienheureux, chacun promet,"
Ched ele ’l mi faranno conperare:,Ils vont me faire regretter:,Ça va me coûter la réparation.
Allor ciascun mi cominciò a buttare;,Alors tout le monde commença à me maltraiter.,Alors tout le monde s'est mis à me traiter mal.
Molto mi fecier dispett’e ladura;,Ils m'ont fait beaucoup de mal et de douleur.,Ils m'ont causé beaucoup d'affliction et de tourment.
"E’ disson ch’i’ avea troppo fallato,","Ils ont dit que j'avais trop tort,",Ils m'ont dit que j'avais fait trop d'erreurs.
"Po’ che Bellacoglienza, per su’ onore,","Car Bellaconglienza, pour son honneur,","Il n'a pas accepté, car Bellacoglienza, par respect pour lui, ne tolérera pas."
"E lei e ’l suo m’avea abandonato,","Et elle et le sien m'avaient abandonné,","Et elle et son conjoint avaient abdiqué de moi,"
Ched i’ pensava d’inbolarle il Fiore.,Parce que je pensais tromper la Fleur.,Parce que je pensais tricher la Fleur.
"Dritt’era, ch’i’ ne fosse gastigato,",Il fallait que tu sois puni.,Il fallait que tu sois puni.
Sì ch’i’ ne stesse ma’ senpre in dolore.,"Comme ça, j'étais toujours dans le chagrin.",Pour que je sois toujours souffrante.
Allor Bellacoglienza fu fermata,Alors Bellaconglienza fut arrêtée,"À ce moment-là, Bellacoglienza a été bloquée."
"Da questi tre portier’ sotto tre porte,",De ces trois gardes sous trois portes,De ces trois sentinelles sous trois brèches
E’ con una catena molto forte,Avec une chaîne très forte,Avec une chaîne très robuste
Quella gientil ebero ’ncatenata.,La gentille a été enchaînée.,Cette charmante fille a été emprisonnée.
"Po’ corser sopra me, quella brigata,",Puis ils ont couru sur moi.,Alors ce groupe s'est précipité sur moi.
E disson: «Sopra te cadran le sorte».,"Et ils dirent: ""Les sorts tomberont sur toi.""","Ils s'écrièrent: ""Les destins t'arriveront."""
"Allor credetti ben riciever morte,","Alors j'ai cru recevoir la mort,",Alors j'ai pensé rencontrer l'extinction.
Tanto faciean di me gran malmenata:,"De toute façon, ils m'ont malmenée.","De toute façon, ils m'infligaient une grande persécution."
Sì ch’i’ misericordia domandai,J'ai donc demandé miséricorde.,J'ai donc supplié la clémence.
"A Paura, a Vergognia, e a quel crudele,","A Peur, à Honte, et à ce cruel,","indomptable douleur Une peur, une Shame, et cette souffrance insupportable et implacable."
Ma i•nessuna guisa la trovai.,Mais je ne l'ai pas trouvée.,"En aucun cas, je ne l'ai trouvée."
Ciascun sì m’era più amar che fele;,Chacun était plus amer que le fiel;,Chacun était plus gros que le poison.
Per molte volte «Merzé!» lor gridai:,"À maintes reprises, ""Miséricorde!"" j'ai crié:","Pour de nombreuses occasions, "" Pitié! "" je leur criai."
Que’ mi diciean: «Per niente bele».,"Ils me disaient: ""Pas beau du tout.""","Ils me disaient: "" Absolument moches."""
"Come costor m’andavar tormentando,","Pendant qu'ils me tourmentaient,","Je pleurais. Pendant qu'ils me tourmentaient, je pleurais."
"E l’oste al Die d’Amor si fu sentita,",L'auberge de Dieu d'Amour fut entendue,par tous L'exhortation de Dieu d'Amour fut mise en garde par toute personne
E’ sì cogniobor ch’i’ avea infralita,Alors ils ont su que j'avais rompu.,la règleE alors ils ont découvert que j'avais enfreint la règle.
La bocie: inmantenente miser bando,Le serment: ils ordonnèrent aussitôt,Le vote: ils ont immédiatement commandé
Che ciascun si vada apparechiando,Que chacun se prépare,Que chacun s'apprenne
"A me socorere a canpar la vita,","Pour m'aider à acheter la vie,",Ça m'a aidé à me sauver et à acquérir l'existence. Ça m'a aidé.
"Ch’ella sarebe in poco d’or fallita,",Qu'elle serait perdue dans un court laps de temps,Qui n'aurait pas tardé à s'évanouir.
Sed e’ no•mi veniser confortando.,Si je n'avais pas été réconforté.,Si je n'avais pas été soulagée.
"Quando   i portir’ sentiron quel baratto,","Quand les gardes ont entendu du troc,","Quand les sentinelles ont senti le contrat, elles se sont précipitées."
Inmantenente tra lor si giuraro,Ils ont juré immédiatement entre eux.,"Tout de suite, ils ont juré fidélité."
"Di non renderla a forza, né a patto;","De ne pas la rendre par la force, ni par l'alliance;","De ne pas la reprendre par la violence, ni par l'accord."
E que’ di fuor ancor sì si legaro,Et ceux du dehors se ligotèrent.,Ceux qui étaient à l'extérieur se joignirent aussi.
"Di non partirsi, s’e’ non fosse fatto,","De ne pas se séparer s'il n'avait pas été fait,",De ne pas diviser s'il n'avait pas été établi.
E di questo tra•llor si fidanzaro.,Et ils s'en sont fiancés.,Et ils se sont déclarés fiancés.
Francheza si venne primiera mente,Franchise vint d'abord avec détermination,Il est venu d'abord avec détermination.
"Contra lo Schifo, ch’è molto oltragioso,","Contre la merde, qui est très scandaleux,","Nous luttons contre la répugnance, qui est extrêmement scandaleuse."
"E per senbianti fiero e coragioso,","Et pour paraître fier et courageux,","Il leva le mentonEt pour paraître orgueilleux et vaillant, il leva le visage."
Ma quella venne molto humile mente.,Mais celle-ci est venue très humblement.,Mais elle s'est montrée très humble.
"Lo Schifo sì ponea tropo ben mente,",La merde se posait trop bien.,L'abomination était trop gentille.
"Ché ’n ben guardar era molto invioso,","Parce qu'il était très jaloux de regarder bien,",Parce qu'il était très jaloux d'avoir l'air bien.
Che quella non potesse di nascoso,Que celle-ci ne puisse pas se cacher.,Que celle-ci ne pouvait pas en secret
Entrar dentr’a la porta con sua giente.,Entrer dans la porte avec son peuple.,Pénétrer dans le seuil avec son peuple.
"Francheza mise mano ad una lancia,","Franceza a mis la main à sa lance,","se préparant à se battre Franceza saisit sa lance, préparant un combat."
"Sì s’aperse per dare a quel cagnione,","Et il s'ouvrit pour donner à ce chien,","Un lieu de paix s'ouvrit pour fournir à ce chien, un endroit tranquille."
E crudel mente   contra lui la lancia.,"et cruellement la lance contre lui,",et il jeta brutalement sa lance contre lui.
"Lo Schifo si avea in mano un gran bastone,",La merde avait un gros bâton dans la main.,La répugnance tenait un grand club.
"E co•lo scudo il colpo sì•llo schiancia,",Et avec le bouclier le coup a dévié.,Et avec le bouclier il a dévié l'impact.
"E fiede a•llei, e falla gir boccone.",Et il l'a blessée en la faisant déjeuner.,"Et il lui a donné un coup de feu, la faisant tourner en plein air."
"La lancia a pezi a pezi à dispezata,","La lance a été détruite pièce par pièce,",La lance a été démolie par fragment.
"E’ po’ avisa un colpo ismisurato,",Mais un coup de feu a eu lieu.,"qui bouleversa tout, mais un coup inouï vint, qui bouleversa tout."
Sì che tutto lo scudo à squartellato:,Et tout le bouclier fut déchiré:,Tout le bouclier a été déchiré.
"Francheza si è in terra rovesciata,",Francheza est à terre renversée.,Franchise est à terre.
"E que’ de’ colpi fa gran dimenata,",Et les blessures ont fait beaucoup de bruit.,Et la blessure a causé un grand bruit.
"E la bella «Merzé!» gli à domandato,","Et la belle Merze lui a demandé,","Et la splendide Merze lui a interrogé,"
Sì ch’a Pietà ne prese gran peccato:,"Jusqu'à ce qu'il en prenne un grand péché à Pietà,",Jusqu'à ce qu'il ait eu un grand regret à Pietà.
Verso il villan sì•ss’è adirizata,"Vers le vilain, elle s'est fâchée.","Envers le méchant, elle est devenue furieuse."
"E con uno spuntone lo gì pungiendo,","Et avec une punaise, il le piquait.","Et avec une lance, il le transperçait."
"E di lagrime tuttora il bagniava,","Et il baignait toujours de larmes,",Elle versait encore des rivières de pleurs.
"Sì che ’l villan si venia rendendo,",Jusqu'à ce que le vilain vienne rigoler,Jusqu'à ce que le méchant arrive en riant
C’aviso gl’iera ched egli afogava.,Depuis qu'il pensait se noyer.,Depuis qu'il avait peur de se noyer.
"Allor Vergognia vi venne corendo,",Alors Honte vint en courant.,Alors Honte vint vite.
Perché lo Schifo «Socorso!» gridava.,Parce que l'enfoiré criait à l'aide !,Parce que l'effrayant hurlait aux urgences !
"Vergognia si venne contra Pietade,","Honte s'opposa à la Piété,",L'humiliation s'est contractée avec compassion.
E molto forte mente la minaccia;,Et il la menaça avec beaucoup de force;,Et il la menaça avec une grande vigueur.
"E quella, che dottava sua minaccia,","Et vous, qui saviez comment répondre aux menaces,","Et elle, qui savait comment réagir aux intimidations, a gardé la tranquillité."
"Sì s’aparechia a mostrar  sua bontade,","Il se préparait à montrer sa bonté,",Il se préparait à prouver sa gentillesse.
Ché ben conoscie sua diversitade.,Parce qu'il connaissait bien la diversité,Parce qu'il était bien conscient de la variété.
"Vergognia a una spada la man caccia,","La honte saisit l'épée d'une main,","Montrant son courageVergogne s'empara d'une main de son épée, faisant preuve d'audace."
Sì disse: «I’ vo’ ben che ciaschedun saccia,"Et il dit: ""Je veux que chacun sache","""Et il a dit: ""Je veux que tout le monde soit au courant."""
Ched i’ te pagherò di tue derate!».,"Que je te paierai pour ton erreur.""",Que je vous récompenserai pour votre erreur.
"Allora alza la spada a•llei fedire,","Alors il leva l'épée pour la frapper,","Plus tard, il leva le sabre pour l'attaquer."
"Ma Diletto si venne a•llei atare,","Mais bien-aimé, il a pris des mesures pour la protéger,",Mais bien-aimée intercéda pour la préserver.
"E di suo scudo la sepe coprire,","Et avec son bouclier, il la couvrit,","Et avec sa défense, il l'a protégée."
E poi si torna per lei vendicare.,Puis il est revenu pour se venger d'elle.,"Plus tard, il est revenu pour la venger."
Ma Vergognia sapea sì lo schermire,"Mais Honte savait bien se défendre,",Mais Honte était douée pour la défense.
Che que’ no•lla potea magagniare.,Pour qu'elle ne puisse rien lui faire.,De telle sorte que rien ne pouvait être fait à cet égard.
"Vergognia mise allor man a la spada,","Honte alors il mit la main à l'épée,",Alors l'humiliation saisit l'épée.
E sì se ne vien dritta ver’ Diletto.,Et il s'est dirigé droit vers Dilettante.,Et elle se dirigea vers la gratification.
"Inmantenente lo scudo ebe al petto,","Immédiatement le bouclier avait sur la poitrine,","Tout de suite, le bouclier a été porté sur la poitrine."
"E disse: «Come vuole andar, sì vada,","Et il dit: ""Va-t'en,","c'est comme ça qu'il doit être.""Et il dit: ""Procède comme prévu, c'est comme ça qu'il devrait être."""
"Chéd i’ te pur farò votar la strada,","Mais je le ferai regretter de son chemin,",Je vais m'assurer que vous remplaciez votre parcours.
O tu farai di piana terra letto!».,"Ou je te couche par terre.""",Je vais te faire tomber.
"Allor lo fie’ co•molto gran dispetto,","Alors il l'a frappé avec une grande colère,",Alors il le frappa avec une grande fureur.
"Come colei, c’a uciderlo bada:",Comme celle qui voulait le tuer.,Comme celui qui avait l'intention de l'éliminer.
"Sì che l’uccide giù tutto stenduto,",Il l'a tué là-bas.,C'est là qu'il l'a éliminé.
E sì li avrebe fesso insino a’ denti.,Et il aurait pu le blesser jusqu'aux dents.,Il aurait pu le frapper jusqu'aux dents.
"Ma quando Ben-Cielar l’ebe veduto,","Mais quand Ben-Cielar l'a vu,","Il a été stupéfait, mais quand Ben-Cielar l'a vu, il a été stupéfait."
"Perciò ch’egli eran distretti parenti,","Parce qu'ils étaient proches de la famille,","Ils étaient très unis Comme ils étaient étroitement liés, ils étaient extrêmement proches."
Inmantenente sì gli fecie aiuto.,"Tout de suite, il lui a prêté de l'aide.","Tout de suite, il lui a donné de l'aide."
Vergognia disse: «I’ vi farò dolenti!».,"Honte a dit: ""Je vous ferai souffrir!""","Honte a dit: ""Je vais vous causer des tourments!"""
"Molt’era buon guerrier, quel Buon-Cielare,","C'était un très bon guerrier, le Bon-Ciel,","qui défendait les gensIl était un champion de vertu, le Généréros-Ciel, qui protégeait les gens."
"Alzò la spada, e sì fiede Vergognia:","Il leva l'épée, et frappa la Honte.",Il leva la lame et frappa la discorde.
"Sì gran colpo, ched ella tutta ingrogna,",Le coup a été si fort qu'elle est bourrée.,Le coup a été si intense qu'elle est toute grincheuse.
E poco ne fallì d’a•tterra andare.,Et il l'a presque fait tomber par terre.,Elle allait la détruire.
"E’ poi la cominciò a predicare,","Puis il commença à prêcher,",Puis il s'est mis à parler.
E disse: «Tu non temi aver vergogna,"Et il a dit: ""Nu ne crains pas d'avoir honte,","Et il dit: ""Nu n'as pas peur d'être gêné, n'est-ce pas ?"""
"Di me, chéd e’ nonn-à, di qui a Bolognia,","de moi, parce qu'il n'y a pas, d'ici à Bologne,","De moi, pourquoi n'est-il pas ici à Bologne ?"
"Nessun, c’un fatto saccia me’ cielare","Personne qui sache que je suis aveugle,",Personne qui soit au courant de mon secret.
"Che saprò io, e perciò porto i’ ’l nome».","Que je saurai, et je porterai le nom.","de sagesse que je connais, donc je me considère comme sage."
Vergogna   sì non sepe allor che dire.,La Honte ne savait pas quoi dire.,La Honte ne trouva pas les mots.
"Paura lo sgridò: «Cugina, come","La Peur la réprimanda: ""Cugina, comme","Avez-vous pu?""La peur la réprimanda: ""Parent, comment avez-vous eu des chances?"""
À’ tu perduto tutto tuo ardire?,Tu as perdu tout ton courage ?,Tu as perdu toute ton audace ?
"Or vegh’i’ ben che vita tropp’ò durome,",Je vois que la vie est trop dure.,Je constate maintenant que la vie est trop difficile.
Quando tu ài paura di morire».,"Quand tu as peur de mourir.""",Quand tu crains la mort.
"A la sua spada mise man Paura,","La peur mit la main à son épée,","La peur s'empara de sa lame,"
"Per soccorer Vergogna, sua vicina.","Pour secourir la Honte, votre voisine.","Pour soulager la Shame, sa prochaine."
"A Ben-Cielar diè per sì grande aina,",Ben Cielar a subi une si grande blessure.,qu'il ne pouvait plus marcherBen Cielar souffrit d'une blessure si grave qu'il rendait impossible sa marche.
Ched e’ fu de la vita inn-aventura.,Que c'était la fin de sa vie.,Cela marqua la fin de son existence.
Contra lei battaglia poco dura:,Peu dure La bataille contre elle:,La lutte contre elle n'est pas durable.
Ardimento s’occorse a la miccina,"Le courage a secouru la petite,",La Spinta a soutenu la minute.
"Con una spada molto chiara e fina,","Avec une épée très claire et fine,","l'affrontement s'est terminé avec une lame claire et mince, le duel s'est résolu."
