Original,Translate_es_1,Translate_es_2
"Creda ’l chi vuole, ch’i’ la teng’a•ffollia.",Cree quien quiera que la mantenga como una locura.,"Créeme a quien le gusta, que la considero una insanía."
"Del bel valetto, che vo’ mi parlate,","El hermoso valet que me hablasteis,",No sé nada del encantador sirviente del que me hablaste. No sé nada.
"In cui tanta vertute è riposata,","En el que se pone tanto valor,",En el que está tan bien guardado.
"Sed e’ la s’à, per me gli sia chitata:",Él la ha concedido para mí:,"Él la tiene, que yo le doy."
"S’i’ l’amo, i’ l’amerò come mi’ frate.","Sí, lo amo. Lo amaré como a mi hermano.",Lo amaré con cariño fraternal.
"Ma per le gioie, ch’e’ m’à presentate,","Pero por los placeres que me presentó,","la vida me ha dado un gran regalo Por las delicias que me ha ofrecido, la vida me ha hecho un gran regalo."
La mi’ veduta no•gli fia vietata;,Mi opinión no se le prohibirá;,Mi opinión no se le prohibirá.
"Ma venga il più che puote a la cielata,","Pero venga lo más que pueda a la corte,","Venga quien pueda Pero venga lo más grande posible a la corte, preséntese quien pueda."
"E, sed e’ piacie a voi, sì ’l ci menate.","Y si a ustedes les gusta, llévenme.","Si te gusta, llévame allí."
"Ma che sia fatto tosto, san’ dimora,","Pero que se haga de inmediato, sin hogar,","Pero que se haga inmediatamente, sin demora."
Perciò che Gielosia non può sofrire,¿ Por qué no puede sufrir Celos?,¿ Por qué no puede tolerar celos?
Ched ella stea sanza vedermi un’ora:,De estar sin verme una hora:,Quédate sin verme por una hora.
"Ché molte volte si parte per gire,","Porque muchas veces se va a rodar,",Porque muchas veces se va para viajar.
"E ’l Diavol, che di notte in lei lavora,","Y el Diablo, que trabaja en ella por la noche,","Y el diablo, que por la noche trabaja en ella,"
Sì•lla fa mantenente rivenire».,Volverá enseguida.,La traerá de vuelta inmediatamente.
"La Vechia sì la va rasicurando,","La vieja les tranquilizó,","Dijo la anciana, tranquilizándoles, dijo"
E dicie: «Sopra me lascia la cura,"Y dice: ""Déjame ser la cura.","de esta situación""Déjame ocuparme de este problema."
"Di questo fatto; non aver paura,","de este hecho; no tengas miedo,","No te preocupes, a propósito de esto"
Chéd io il saprò ben andar cielando.,Porque voy a ser capaz de esconderme.,Porque yo sabré esconder hábilmente
E gisse Gielosia tuttor ciercando,Y fue celoso buscando todavía,Y fue celoso buscando otra vez
"Qua entro, sì seria grande sciagura","Aquí dentro, un gran desastre,","En este lugar, una gran calamidad sería terrible."
"S’ella ’l trovasse, ma i’ son sicura","Si ella la encuentra, pero yo estoy segura.","que no lo hará si se entera, pero estoy segura de que no lo hará."
Che poco le varria su’ gir   sogniando».,"si sólo se durmiera soñando.""",si sólo se soñaba.
"«Dunque potete voi farlo venire,",Así que puedes hacer que venga.,Así que pueden provocar su presencia.
"Ma’ ched e’ si contegnia come sagio,","pero sólo que se comporte sabiamente,",Sólo que actúe sabiamente.
Ch’e’ non pensasse a•ffar nesun ardire».,Y no pienses en hacer nada atrevido.,Y no pienses en hacer nada atrevido.
"«Figluola mia, e’ non fecie anche oltragio","Hija mía, no hizo ningún desacato","Hija mía, no aguantaré ningún insulto."
"I•nessun luogo, ch’i’ udisse dire,","En ningún sitio, que yo oyera decir.","En ningún lugar, que yo oyera narrar."
Ma troppo il loda l’uon di gran vantagio».,Pero demasiado alaba al hombre de gran ventaja.,Pero la alabanza excesiva es un gran beneficio para el hombre.
Alor sì fecier fine al parlamento.,Entonces acabó la conversación.,Entonces terminaron el debate.
"La Vechia se ne venne al mi’ ostello,","La vieja vino a mi albergue,",La anciana llegó a mi hotel.
"E disse:   «Avrò io sorcotto e mantello,","Y dijo: Tomaré mi abrigo y mi capa,","Gracias""Y dijo: ""Seré el dueño de la chaqueta y la capa, por favor."""
"Sed i’ t’aporto alcun buon argomento,","Pero te traeré buenas noticias,",Pero te traeré una buena noticia.
Che ti trarrà di questo tuo tormento?».,"que te librará de este tormento tuyo?""",¿Qué te libraría de tu aflicción?
"I’ dissi: «Sì, d’un verde fino e bello;","Le dije: ""Sí, con un verde fino y hermoso,","con un cielo azul.""Yo exclamé: ""Absolutamente, con una agradable y encantadora conclusión, y un cielo ceruleo."""
"Ma, sì sacciate, non fia san’ pennello",Pero sepan que no será sin un pincel.,Pero sepan que no será sin un cepillo.
"Di grigio, con ogni’altro guernimento».","de gris, con todos los otros adornos.","de aspecto monocromático, junto con todos los demás adornos."
"D’Amico mi sovenne, che mi disse","Me vino a la mente Amigo, que me dijo","Me vino a la mente un confidente, que me informó"
"Ched i’ faciesse larga promessione,","Para que yo hiciera una gran promesa,",para que yo me comprometiera a una promesa solemne
"Ma ’l più, ch’i’ posso, il pagar soferisse:",pero pagar lo más posible si fuera necesario:,Pero dar todo lo que sea posible si es necesario.
Avegnia ch’i’ avea ferma ’ntenzione,No importa lo firme que sea mi intención.,Por mucho que supiera.
"De dar ben a coste’, s’ella m’aprisse,","De dar mucho, si me hubiera dicho","para ofrecer abundantemente, si me hubiera informado"
Che quell’uscisse   fuor della pregione.,Que saldría del cautiverio.,Que se liberaría de la detención.
"La Vechia disse allor: «Amico mio,","La vieja dijo: ""Amigo mío,","¡No temas!""La senior exclamó: ""¡Compañero, no tengas miedo!"""
"Queste son le novelle, ch’i’   t’aporto:",Estas son las noticias que te traigo:,Esa es la noticia que te transmito:
Bellacoglienza salute e conforto,"Hermosa salud y consuelo,","Recepción benévola, bienestar y comodidad."
"Te manda, se m’aiuti l’alto Dio;","Te envía, si me ayudas el Dios alto;",Te envía si consigo la ayuda del Soberano Divino.
Sì ch’i’   ti dico ben ched i’   cred’io,Te digo que te creo.,Te digo que te creo.
Che•lla tua nave ariverà a tal porto,Que tu barco llegará a ese puerto.,¿Que tu nave llegará a ese puerto?
Che•ttu sì coglierai   il Fior dell’orto».,"Que cogerás la Flor del Jardín.""",Que recoges el Blossom del parque.
"Questo motto fu quel, che mi guerio.",Este lema es lo que me curó.,Este adagio fue lo que me curó.
"«Or te dirò, amico, che farai:","Ahora te diré, amigo, ¿qué vas a hacer?","Voy a informarte, amigo, ¿qué vas a hacer?"
"All’uscio, c’apre verso del giardino,","A la puerta que abre hacia el jardín,",A la puerta que conduce al jardín
Ben cheta mente tu te ne verai;,Tranquilamente te irás.,"Tranquilo, te alejarás."
"Ed i’   sì me ne vo ’l dritto camino,",Y yo me iré por el camino recto.,Me iré por el camino recto.
"E sì farò c’aperto il troverai,","Y la encontraré abierta,",Y la voy a identificar abierta.
Sì che•ttu avrai   il Fior in tuo dimino».,Para que tengas la Flor en tu custodia.,Así que tú posees la Flor.
"La Vechia atanto da me si diparte,","La vieja entonces se alejó de mí,",La anciana entonces se alejó de mí.
"E ’l camin ebe tosto passegiato,","Y pronto el camino fue recorrido,",Y el camino fue rápidamente recorrido.
"E quand’i’ fui un poco dimorato,","Y cuando me paré un poco,","Lo vi cuando me arresté por un momento, lo noté."
"Verso ’l giardin n’andai   da l’altra parte,","Fui al otro lado del jardín,",Caminé en la dirección opuesta hacia el huerto.
"Pregando Idio, che mi conduca ’n parte,",Orando a Dios para que me lleve al lado,Buen implorando a Dios que me guíe por el camino correcto.
Ch’i’ de mia malatia fosse sanato.,Que mi enfermedad fuera sanada.,Que mi enfermedad se curara.
Aperto l’uscio sì ebi trovato;,Abierto la puerta encontré;,Desvié la puerta y me di cuenta.
Ver è ch’era sochiuso tutto ad arte.,Todo estaba envuelto en el arte.,Estaba bien abierto en parte.
Co•molto gran paura dentro entrai;,Con mucho miedo entré dentro;,Con terrible terror entré adentro;
"Ma quand’i’ vidi Malabocca morto,","Pero cuando vi a Malabocca muerto,","Me abrumó el dolor Cuando murió Malabocca, me abrumó una profunda tristeza"
Vie men del fatto mio sì mi dottai.,Me sentí menos preocupado por mi situación.,Me sentí menos ansioso por mi situación.
"Amor trovai,   che mi diè gran conforto","Encontré a Amor, que me dio gran consuelo","Encontré a Afecto, que me dio gran alivio."
"Co•l’oste sua, e molto m’allegrai","Con su hospitalidad, me regocijé mucho","Con su bondad, me regocijé muchísimo"
"Che ciascun v’era, no•vi trarria corto.","Que todo el mundo estaba allí, no te corto.","Que cada uno estaba presente, no os acortaré."
"Com’i’ v’ò detto, a tutto lor podere","Como les dije, a toda su granja.","Como os he expuesto, a toda su propiedad"
Lo Dio d’Amor et la sua Baronia,Dios de Amor y su baronía,Deidad de la benevolencia y su principado
"Presti eran tutti a far senn’e follia,",Pronto estaban listos para hacer una locura.,Rápidamente estaban preparados para cometer locuras.
Per aconpiérmi tutto ’l mio volere.,Para cumplir con mi voluntad.,Para cumplir todos mis deseos.
Allor pensai s’i’ potesse vedere,Entonces pensé si podía ver,Entonces pensé si podía observar.
Dolze-Riguardo per cosa che sia:,Dolze-Respecto por cualquier cosa.,Dulce-En relación con cualquier cosa.
"Inmantenente Amor a me lo ’nvia,","Amor me lo envió inmediatamente,","Enseguida, Amor me lo envió."
Di che mi fecie molto gran piaciere.,Que me hizo un gran placer.,Que me dio un gran placer.
"E que’ sì mi mostrò Bellacoglienza,","Y eso me mostró Bellacoglienza,","Y eso me mostró cortesía,"
"Che ’nmantenente venne a salutarmi,",Que inmediatamente vino a despedirse de mí.,Que pronto vino a despedirse de mí.
E sì mi fecie grande proferenza;,Y me alegró mucho;,Y me dio gran satisfacción.
E po’ sì cominciò a merziarmi,Y entonces empezó a complacerse.,Así que empezó a sentirse satisfecho.
"Delle mie gioie, di ch’ell’avea voglenza","Mis alegrías, de las que quería,","Disfrutó de mis satisfacciones, de las que había anhelado, se regocijó."
Di quel presente ancor guiderdonarmi.,Todavía quería compensarme por el presente.,Todavía deseaba recompensarme por el regalo.
"I’ le dissi: «Madonna, grazie rendo","Le dije: ""Señora, muchas gracias.","""Yo las expresé: ""Dama, gran gratitud."""
"A voi, quando prender le degniaste,","A ti, para cuando te atraparon,","se le dio un premioA usted, por su compra, se le concedió una recompensa."
Ché tanto forte me ne consolaste,¿Por qué me habéis consolado tanto?,¿Por qué me has animado tanto?
C’a pena mai magior gioia atendo;,Que apenas espero una alegría mayor;,Apenas deseo una alegría más grande.
"E, s’i’ l’ò mai, da voi aver l’atendo.","Y si alguna vez la consigo, la espero en su casa.","Y, en caso de necesidad, lo espero de ustedes."
"Sì c’a me piacie se ciò, che pigliaste,","Así que me gusta si lo que has tomado,",Para que me satisfaga si ha comprado lo que ha comprado.
"O la persona mia ancora ingagiaste,",O se han comprometido conmigo otra vez.,"o aún os habéis dedicado a mí o os habéis aplicado a mí otra vez, o os habéis consagrado a mí."
"O la vendeste, mai non vi contendo».","O lo habéis vendido, no os contradeciré.""","O lo vendiste, no me opondré."
Quella mi disse: «Molto gran merzede.,"Ella me dijo: ""Muy gran mérito.","Ella me declaró: ""Encomiable mérito."""
"Di me, vi dico, fate ’l somigliante","De mí, os digo, haced lo que se merece.","De mí, os digo, haced lo que queráis."
"C’a bene e a onore i’ v’amo, a•ffede».","Que os amo con afecto y honor.""",Que os amo con ternura y veneración.
Delle sue cose i’ non fu’ rifusante;,"No me rehusé a sus cosas,",No me opuse a sus cosas.
"Ma spesso falla ciò, che ’l folle crede:",Pero a menudo sucede lo que el loco cree:,A menudo se hace realidad lo que dice el insensato.
Così avenne al buon di ser Durante.,Así que le pasó al buen Ser Durante.,"Bueno, Ser Durante él conoció un destino así."
"Quand’i’ vidi l’oferta, che faciea,","Cuando vi la oferta que hacía,","Cuando observé la opción que proponía, decidí comprar."
Del fatto mi’ credett’eser ciertano:,del hecho de que me creías seguro.,de mi credibilidad segura
"Allor sì volli al Fior porre la mano,",Entonces se quiso poner la mano en Flor,Entonces se decidió ayudar a Flor
Che molto ringrossato   mi parea.,Lo cual me pareció muy grande.,Lo cual me pareció muy exagerado.
Lo Schifo sopra me forte correa,El Asqueroso corrió fuerte sobre mí.,La repugnancia corría rápido hacia mí.
"Diciendo: «Trat’adietro, mal villano,","Diciendo: ""Atrás, malvado,","¡Retrocede!""Gritando: ""¡Lejos, malvado, lejos!"""
"Che•sse m’aiuti Idio e san Giermano,","Que Dios y San Germán me ayuden,",Que me asistan Dios y santo Germán.
"I’ non son or quel, ch’i’ esser solea.",Ya no soy el único que estaba sola.,Ya no soy yo mismo como era antes.
E ’l Diavol sì ti ci à ora menato:,Y el Diablo te trajo aquí ahora:,Y Satanás te trajo aquí ahora.
"Se mi trovasti a l’altra volta lento,","Si me encontraste lento la última vez,","Esta vez seré más rápido si me encontraste allí la última vez, esta vez seré más rápido."
Or  sie ciertan   ch’i’ ti parrò canbiato.,Ahora asegúrate de que voy a hablar contigo cambiado.,Ahora estás absolutamente convencido de que te voy a decir la palabra transformada.
Me’ ti varria che fossi a Benivento!».,"¡Hubiera sido mejor si estuvieras en Benevento!""",¡Hubiera sido bueno para ti si estuvieras en Benevento!
"Allora ’l capezal m’ebe pigliato,",Entonces me agarró el jefe.,Entonces me agarró la cabeza.
E domandò chi era mi’ guarento.,Y preguntó quién era mi garante.,Preguntó quién era mi garante.
"Po’ sentì ’l fatto Vergognia e Paura,","Entonces sentí el hecho Vergüenza y miedo,",Entonces probé Sensibilidad y Aprendizaje.
